FishCode,Pond,SizeClass,SizeClass_Eco,AssayClass,Sex,Stage,Fgut,Egut,Fullness,Rock_num,Rock_mass,DigestedArthropoda_num,DigestedArthropoda_mass,TerrestrialInvert_num,TerrestrialInvert_num,Decapod_Cambaridae_num,Decapod_Cambaridae_mass,Hemipt_Corixidae_num,Hemipt_Corixidae_mass,Coleo_Dytiscidae_num,Coleo_Dytiscidae_mass,Hemipt_Belostomatidae_num,Hemipt_Belostomatidae_mass,Amphipoda_num,Amphipoda_mass,Bivalvia_num,Bivalvia_mass,Gastropoda_num,Gastropoda_mass,Hydrachnidia_num,Hydrachnidia_mass,PelZoop_CladCop_num,PelZoop_CladCop_mass,Odo_Anisoptera_num,Odo_Anisoptera_mass,Odo_Zygoptera_num,Odo_Zygoptera_mass,Dipt_Chaoboridae_num,Dipt_Chaoboridae_mass,Dipt_Chironomidae_num,Dipt_Chironomidae_mass,Dipt_Tipulidae_num,Dipt_Tipulidae_mass,Dipt_Stratiomyidae_num,Dipt_Stratiomyidae_mass,Trichoptera_num,Trichoptera_mass,Ephemeroptera_num,Ephemeroptera_mass,Clitellata_Hirudinae_num,Clitellata_Hirudinae_mass,Clitellata_Oligochaeta_num,Clitellata_Oligochaeta_mass,Stickle_num,Stickle_mass,FatH_num,FatH_mass,RBD_num,RBD_mass,PU_num,PU_mass,Fish_num,Fish_mass,Vegetation_num,Vegetation_mass,BivalvTot_num,BivalvTot_mass,GastroTot_num,GastroTot_mass,PelZoopTot_num,PelZoopTot_mass,ClitellaTot_num,ClitellaTot_mass,EphemTot_num,EphemTot_mass,TrichopteraTot_num,Trichoptera_mass,DipteraTot_num,DipteraTot_mass,OdonataTot_num,OdonataTot_mass,HemipteraTot_num,HemipteraTot_mass,Other_num,Other_mass,PUTot_num,PUTot_mass,FishTot_Num,FishTot_mass,ContentMass,Date,Sample,GFI,GFI2,CaptureMethod,ParasiteLoad
PU-KSS-2,KSS,I,I,G,M,22,0.838,0.825,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,21/12/2020,1,0.073021401,,,
PU-KSS-3,KSS,I,B,N,M,22,0.922,0.818,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,21/12/2020,1,0.534566949,,,
PU-KSS-4,KSS,I,I,G,F,22,0.653,0.568,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,21/12/2020,1,0.602537747,,,
PU-KSS-5,KSS,I,B,G,F,22,1.034,0.976,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,21/12/2020,1,0.299061565,,,
PU-KSS-6,KSS,I,S,G,M,22,0.217,0.211,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,21/12/2020,1,0.115008626,,,
PU-KSS-7,KSS,I,I,G,M,22,0.801,0.749,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,21/12/2020,1,0.321583179,,,
PU-KSS-8,KSS,I,S,G,M,22,0.265,0.256,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,21/12/2020,1,0.145137881,,,
PU-KSS-9,KSS,I,S,G,M,22,0.189,0.171,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,21/12/2020,1,0.472689076,,,
PU-KSS-10,KSS,I,I,G,M,22,0.508,0.445,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,21/12/2020,1,0.74204947,,,
PU-KSS-11,KSS,I,S,G,F,22,0.248,0.209,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,21/12/2020,1,0.899239105,,,
