FishCode,FishCode2,TLEN,FLEN,RWT,Liver,Gonad,Pond,Sex,Stage,Fgut,Egut,Fullness,Stickle_num,Stickle_mass,FatH_num,FatH_mass,RBD_num,RBD_mass,PU_num,PU_mass,Fish_num,Fish_mass,Vegetation_num,Vegetation_mass,BivalvTot_num,BivalvTot_mass,GastroTot_num,GastroTot_mass,PelZoopTot_num,PelZoopTot_mass,ClitellaTot_num,ClitellaTot_mass,EphemTot_num,EphemTot_mass,TrichopteraTot_num,Trichoptera_mass,DipteraTot_num,DipteraTot_mass,OdonataTot_num,OdonataTot_mass,HemipteraTot_num,HemipteraTot_mass,Other_num,Other_mass,PUTot_num,PUTot_mass,FishTot_Num,FishTot_mass,ContentMass,Date,Sample,GFI,GFI2,CaptureMethod,ParasiteLoad
PU-KSB-80,PU-KSB-80,60,57,3.187,0.051,0.034,KSB,F,22,0.192,0.14,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012,9/4/2021,7,1.631628491,2.008158142,T,3
PU-PP-86,PU-PP-86,65,63,3.944,0.101,0.054,PP,F,22,0.145,0.14,MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5/3/2021,5,0.126774848,0.126774848,T,2
PU-GSP-57,PU-GSP-57,62,58,3.425,0.108,0.007,GSP,M,22,0.152,0.142,MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6/2/2021,3,0.291970803,0.291970803,T,1
PU-GBP-16,PU-GBP-16,63,59,4.102,0.065,0.054,GBP,F,22,0.149,0.143,MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,18/01/2021,2,0.146270112,,T,
PU-GSP-199,PU-GSP-199,51,49,2.179,0.053,0.058,GSP,F,23,0.2,0.144,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049,4/5/2021,9,2.569986232,4.818724185,T,1
PU-KSS-15,PU-KSS-15,63,59,3.351,0.085,0.004,KSS,M,22,0.174,0.145,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,21/12/2020,1,0.865413309,,,
PU-GSP-64,PU-GSP-64,64,61,4.207,0.1,0.011,GSP,M,22,0.151,0.146,MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19/2/2021,4,0.118849536,0.118849536,T,1
PU-GSP-70,PU-GSP-70,62,59,3.982,0.118,0.007,GSP,M,22,0.155,0.147,MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19/2/2021,4,0.200904068,0.200904068,T,1
PU-GSP-94,PU-GSP-94,61,57,3.478,0.073,0.012,GSP,M,22,0.151,0.147,MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5/3/2021,5,0.115008626,0.115008626,T,1
PU-GSP-75,PU-GSP-75,63,60,4.064,0.122,0.078,GSP,F,22,0.155,0.148,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19/2/2021,4,0.172244094,0.172244094,T,2
PU-KSB-48,PU-KSB-48,61,59,3.357,0.073,0.035,KSB,F,22,0.185,0.148,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018,0,0,0,0,0.018,21/2/21,4,1.102174561,1.63836759,T,2
PU-GSP-106,PU-GSP-106,63,60,3.989,0.111,0.006,GSP,M,22,0.167,0.149,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.008,0,0,0,0,0,0,0,0,0,0,0.008,5/3/2021,5,0.451240913,0.651792429,T,2
PU-GSP-152,PU-GSP-152,60,56,3.102,0.09,0.059,GSP,F,23,0.157,0.149,MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3/4/2021,7,0.25789813,0.25789813,T,1
PU-KSB-11,PU-KSB-11,67,63,4.476,0.081,0.03,KSB,F,22,0.198,0.149,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,21/01/2021,2,1.094727435,,T,
PU-KSB-115,PU-KSB-115,65,62,4.281,0.036,0.003,KSB,M,10,0.176,0.15,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.015,0,0,0,0,0,0,0,0,0.015,24/6/2021,12,0.607334735,0.957720159,T,1
PU-KSB-44,PU-KSB-44,62,59,3.277,0.06,0.002,KSB,M,10,0.158,0.15,MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21/2/21,4,0.244125725,0.244125725,T,4
